FCID_Code,FCID_Desc,GHGE,CED,e,f,wweia_codes,wweia_desc,Portion_description,Portion_weight,Fruit,Veg,Meat,Dairy,Grain,Protein,Oil,Beverage,ingredient_code,kcal,proteins,carbs,fat,sugar,kgCO2perKCal,kgCO2perPortion,kcalPortion,proteinPortion,carbsPortion,fatPortion,sugarPortion
1400213000,Macadamia Nut,2.06,13.97,1, nut,42109100,Macadamia nuts,1 oz,28.35,0,0,0,0,0,1,0,0,12632,716,7.79,12.83,76.08,4.14,0.000287709,0.058401,202.986,2.208465,3.637305,21.56868,1.17369
1400081000,Cashew,5,13.97,1, nut,42104000,"Cashews, NFS",1 oz,28.35,0,0,0,0,0,1,0,0,12085,574,15.31,32.69,46.35,5.01,0.00087108,0.14175,162.729,4.340385,9.267615,13.140225,1.420335
1400003000,Almond,2.27,23.2,1,,42100100,"Almonds, NFS",1 oz,28.35,0,0,0,0,0,1,0,0,12063,598,20.96,21.01,52.54,4.86,0.000379599,0.0643545,169.533,5.94216,5.956335,14.89509,1.37781
603203000,Lentil,1.88,1.32,1,,41304980,"Lentils, dry, cooked, NS as to fat added in cooking","1 oz, dry, yield after cooking",70,0,0,0,0,0,1,0,0,16070,116,9.02,20.13,0.38,1.8,0.00162069,0.1316,81.2,6.314,14.091,0.266,1.26
603098000,Chickpea,0.49,1.543,1,,41302000,"Chickpeas, dry, cooked, NS as to fat added in cooking","1 oz dry, yield after cooking",70,0,0,0,0,0,1,0,0,16057,164,8.86,27.42,2.59,4.8,0.00029878,0.0343,114.8,6.202,19.194,1.813,3.36
603036000,Kidney Bean,0.31,4.756,1, bean_dry,41106010,"Red kidney beans, dry, cooked, fat added in cooking, NS as to type of fat","1 oz dry, yield after cooking",70,0,0,0,0,0,1,0,0,16033,127,8.67,22.8,0.5,0.32,0.000244094,0.0217,88.9,6.069,15.96,0.35,0.224
603038000,Lima Bean,0.31,4.756,1, bean_dry,41103000,"Lima beans, dry, cooked, NS as to fat added in cooking","1 oz dry, yield after cooking",70,0,0,0,0,0,1,0,0,16072,115,7.8,20.88,0.38,2.9,0.000269565,0.0217,80.5,5.46,14.616,0.266,2.03
603030000,Black Bean,0.31,4.756,1, bean_dry,41101000,"Beans, dry, cooked, NS as to type and as to fat added in cooking","1 oz dry, yield after cooking",70,0,0,0,0,0,1,0,0,16043,143,9.01,26.22,0.65,0.34,0.000216783,0.0217,100.1,6.307,18.354,0.455,0.238
603040000,Navy Bean,0.31,4.756,1,bean_dry,41101000,"Beans, dry, cooked, NS as to type and as to fat added in cooking","1 oz dry, yield after cooking",70,0,0,0,0,0,1,0,0,16043,143,9.01,26.22,0.65,0.34,0.000216783,0.0217,100.1,6.307,18.354,0.455,0.238
603042000,Pinto Bean,0.31,4.756,1,bean_dry,41101000,"Beans, dry, cooked, NS as to type and as to fat added in cooking","1 oz dry, yield after cooking",70,0,0,0,0,0,1,0,0,16043,143,9.01,26.22,0.65,0.34,0.000216783,0.0217,100.1,6.307,18.354,0.455,0.238
7000145000,Egg,3.75,23.002,1,,31101010,"Egg, whole, raw",1 large,50,0,0,0,0,0,1,0,0,1123,143,12.56,0.72,9.51,0.37,0.002622378,0.1875,71.5,6.28,0.36,4.755,0.185
8000162000,Shellfish (Mollusk),3.14,172.822,1,all_fish,26313100,"Mussels, raw","3 oz, raw (w/o shell)",85,0,0,1,0,0,1,0,0,15164,86,11.9,3.69,2.24,0,0.003651163,0.2669,73.1,10.115,3.1365,1.904,0
8000161000,Shellfish (Crustacean),30.66,321.071,1,,26305110,"Crab, cooked, NS as to cooking method","3 oz, cooked (w/o shell)",85,0,0,1,0,0,1,0,0,15140,83,17.88,0,0.74,0,0.036939759,2.6061,70.55,15.198,0,0.629,0
8000159000,Tuna,2.15,32.18,1,saltwater_finfish,26153100,"Tuna, fresh, raw","3 oz, boneless, raw",85,0,0,1,0,0,1,0,0,15127,109,24.4,0,0.49,0,0.001972477,0.18275,92.65,20.74,0,0.4165,0
8000157000,Freshwater Fish (Wild-caught),1.57,22.35,1,,26151110,"Trout, cooked, NS as to cooking method","3 oz, boneless, cooked",85,0,0,1,0,0,1,0,0,15240,141,19.94,0,6.18,0,0.001113475,0.13345,119.85,16.949,0,5.253,0
8000158000,Freshwater Fish (Farm-raised),5.72,157.432,1,,26151110,"Trout, cooked, NS as to cooking method","3 oz, boneless, cooked",85,0,0,1,0,0,1,0,0,15240,141,19.94,0,6.18,0,0.004056738,0.4862,119.85,16.949,0,5.253,0
5000382000,Turkey,2.57,27.338,1, chicken,24201000,"Turkey, NFS","3 oz, cooked",85,0,0,1,0,0,1,0,0,5697,127,26.97,0,2.08,0,0.002023622,0.21845,107.95,22.9245,0,1.768,0
4000093000,Chicken,4.19,27.338,1,,24100000,"Chicken, NS as to part and cooking method, NS as to skin eaten","3 oz, cooked",85,0,0,1,0,0,1,0,0,5000,144,28.04,0,3.57,0,0.002909722,0.35615,122.4,23.834,0,3.0345,0
3500339000,Sheep,34.75,33.613,1,,23000100,"Lamb, NS as to cut, cooked","3 oz, boneless, cooked",85,0,0,1,0,0,1,0,0,17002,294,24.52,0,20.94,0,0.011819728,2.95375,249.9,20.842,0,17.799,0
3400290000,Pork,5.56,28.62,1,,22000100,"Pork, NS as to cut, cooked, NS as to fat eaten","3 oz, boneless, cooked",85,0,0,1,0,0,1,0,0,10949,171,19.45,0,10.26,0,0.003251462,0.4726,145.35,16.5325,0,8.721,0
3100044000,Beef,32.85,67.895,1,,21000100,"Beef, NS as to cut, cooked, NS as to fat eaten","3 oz, boneless, cooked",85,0,0,1,0,0,1,0,0,23606,189,29.3,0,7.09,0,0.017380952,2.79225,160.65,24.905,0,6.0265,0
Directly linked,"Cheese, Cow",9.97,54.86,,,14010000,"Cheese, NFS",1 oz,28.35,0,0,0,1,0,0,0,0,1009,404,22.87,3.09,33.31,0.48,0.002467822,0.2826495,114.534,6.483645,0.876015,9.443385,0.13608
Directly linked,"Yogurt, Cow",1.33,9.691,,,11400000,"Yogurt, NFS",1 cup,245,0,0,0,1,0,0,0,0,1117,63,5.25,7.04,1.55,7.04,0.002111111,0.32585,154.35,12.8625,17.248,3.7975,17.248
3600222000,Milk,1.32,7.129,2,,11111000,"Milk, whole",1 cup,244,0,0,0,1,0,0,0,1,1077,61,3.15,4.8,3.25,5.05,0.002163934,0.32208,148.84,7.686,11.712,7.93,12.322
Directly linked, Tofu,1.66,0,,,0,0,100 g,100,0,0,0,0,0,1,0,0,0,76,8,1.9,4.8,0.23,0.002184211,0.166,76,8,1.9,4.8,0.23
0,Coffee,0.07,0,,,92100000,"Coffee, NS as to type",1 cup (8 fl oz),240,0,0,0,0,0,0,0,1,14209,1,0.12,0,0.02,0,0.007,0.0168,2.4,0.288,0,0.048,0
0,Bread,1.09,0,,,0,0,1 slice,28,0,0,0,0,1,0,0,0,0,247,13,41.3,3.3,5.6,0.000441296,0.03052,69.16,3.64,11.564,0.924,1.568
0,Pasta,0.88,0,,,0,0,1 cup cooked,140,0,0,0,0,1,0,0,0,0,157,5.8,30.6,0.9,0.6,0.00056051,0.1232,219.8,8.12,42.84,1.26,0.84
